how it appears in ARC file,id,first_name,last_name,link,company,start,end,,
芦ゆき | Gigadō Ashiyuki; 戯画堂芦ゆき,ashiyuki_gigado,戯画堂 (Gigadō),芦ゆき (Ashiyuki),https://www.wikidata.org/wiki/Q3074340,,1750-01-01T00:00:00Z,,,
梅逸 | Yamamoto Baiitsu; 山本梅逸,baiitsu_yamamoto,山本 (Yamamoto),梅逸 (Baiitsu),https://www.wikidata.org/wiki/Q3571447,,1783-11-14T00:00:00Z,1856-02-07T00:00:00Z,,
文調 | Ippitsusai Bunchō; 一筆斎文調,buncho_ippitsusai,一筆斎 (Ippitsusai),文調 (Bunchō),https://www.wikidata.org/wiki/Q3154222,,1723-01-01T00:00:00Z,1792-01-01T00:00:00Z,,
周麿 |Yukawa Chikamaro; 惺々周麿,chikamaro_yukawa,湯川 (Yukawa),周麿 (Chikamaro),https://www.wikidata.org/wiki/Q11563537,,,,,
歌川国昇,chikanobu_toyohara,豊原 (Toyohara),周延 (Chikanobu),https://www.wikidata.org/wiki/Q3087294,,1838-01-01T00:00:00Z,1912-12-31T23:59:59Z,,
楊洲周延 | Hashimoto Chikanobu,chikanobu_yoshu,楊洲 (Yōshū),周延 (Chikanobu),https://www.wikidata.org/wiki/Q3087294,,1838-01-01T00:00:00Z,1912-12-31T23:59:59Z,,
守川周重,chikashige_morikawa,守川 (Morikawa),周重 (Chikashige),https://www.wikidata.org/wiki/Q11450076,,1882-01-01T00:00:00Z,1900-12-31T23:59:59Z,,
長喜 | Eishōsai Chōki; 栄松斎長喜,choki_eishosai,栄松斎 (Eishōsai),長喜 (Chōki),https://www.wikidata.org/wiki/Q3049506,,1725-01-01T00:00:00Z,1795-12-31T23:59:59Z,,
亜欧堂田善 Aōdō Denzen,denzen_aodo,亜欧堂 (Aōdō),田善 (Denzen),https://www.wikidata.org/wiki/Q4067900,,1748-01-01T00:00:00Z,1822-06-25T00:00:00Z,,
鳥橋斎栄里 Chōkyōsai Eiri,eiri_chokyosai,鳥橋斎 (Chōkyōsai),栄里 (Eiri),https://www.wikidata.org/wiki/Q11675017,,1759-01-01T00:00:00Z,,, 
"英泉 | Keisai Eisen, 渓斎英泉",eisen_keisai,渓斎 (Keisai),英泉 (Eisen),https://www.wikidata.org/wiki/Q3046492,,1790-01-01T00:00:00Z,1848-12-31T23:59:59Z,,
