Category,Only used for downloading images,,Metadata displayed,,,,,,,,,,,not shown,Used for georeferencing,,
column title,download_original_image_link,link_id,title,caption,original_id,date_shot,date_min,date_max,license,photographer_id,download_link,link,shop_link,date_orig,longitude,latitude,view_type
description,link to download original image,identifier to link metadata to image file (exÂ : identifier.tif),title of image,description of image,Identifier used to link back export to original data,exact date if known (dd/mm/yyyy) else use date_min and date_max,start of date range (dd/mm/yyyy),end of date range (dd/mm/yyyy) ,licence information,id of phographer (link to info in external csv),link for user to download original image (optional),deeplink to image info page (optional),link to buy full image (optional),original date (free string like 19th century),a priori position (optional),a priori position (optional),(terrestrial / highOblique / lowOblique / nadir)
,https://adeac.jp/viewitem/fukuoka-pref-lib/viewer/iiif/342/manifest.json,342,"Panoramic View of Munakata Shrine, Okitsumiya (copy)",宗像神社瀛津宮全図（写）,R100000094_I000106316_00,,01/01/1830,31/12/1855,"Images and base metadata from ""Digital Archive System ADEAC (福岡県立図書館)"" retrieved Images and base metadata from Japan Search (https://jpsearch.go.jp/item/adeac-R100000094_I000106316_00). Image used under educational license; for details, see Japan Search link and holding institution. / 教育目的でこの画像を使用させていただいております。詳細については、ジャパンサーチのリンクおよび所蔵機関をご確認ください。 Data standardization, enrichment, and geographic tagging by the Drawing Images and base metadata from the Crowd Project. ",ichimaro_gakutei,,,,,130.0988,34.2568,lowOblique
,https://adeac.jp/viewitem/suzukabunkazai/viewer/iiif/view007117/manifest.json,view007117,Futamiurazu,二見浦図,R100000094_I575906,,01/01/1760,31/12/1790,"Images and base metadata from ""Digital Archive System ADEAC (神館飯野高市本多神社)"" retrieved Images and base metadata from Japan Search (https://jpsearch.go.jp/item/adeac-R100000094_I575906). Image used under educational license; for details, see Japan Search link and holding institution. / 教育目的でこの画像を使用させていただいております。詳細については、ジャパンサーチのリンクおよび所蔵機関をご確認ください。 Data standardization, enrichment, and geographic tagging by the Drawing Images and base metadata from the Crowd Project. ",kokan_shiba,,,,,136.7885,34.5096,lowOblique
,https://adeac.jp/viewitem/taito-lib/viewer/iiif/2011_u_017/manifest.json,2011_u_017,Asakusabashi,浅草橋 / Series: Illustrated Guide to Famous Places in Tokyo 東京真画名所図解,R100000094_I000119578_00,,01/01/1884,31/12/1889,"Images and base metadata from ""Digital Archive System ADEAC (台東区立中央図書館)"" retrieved Images and base metadata from Japan Search (https://jpsearch.go.jp/item/adeac-R100000094_I000119578_00). Image used under educational license; for details, see Japan Search link and holding institution. / 教育目的でこの画像を使用させていただいております。詳細については、ジャパンサーチのリンクおよび所蔵機関をご確認ください。 Data standardization, enrichment, and geographic tagging by the Drawing Images and base metadata from the Crowd Project. ",yasuji_inoue,,,,,139.7967,35.7148,lowOblique
,https://adeac.jp/viewitem/taito-lib/viewer/iiif/2012_u_007_002/manifest.json,2012_u_007_002,Snowy Scenery Along the Sumida Riverbank,隅田堤の雪景,R100000094_I000119621_00,,01/01/1868,31/12/1912,"Images and base metadata from ""Digital Archive System ADEAC (台東区立中央図書館)"" retrieved Images and base metadata from Japan Search (https://jpsearch.go.jp/item/adeac-R100000094_I000119621_00). Image used under educational license; for details, see Japan Search link and holding institution. / 教育目的でこの画像を使用させていただいております。詳細については、ジャパンサーチのリンクおよび所蔵機関をご確認ください。 Data standardization, enrichment, and geographic tagging by the Drawing Images and base metadata from the Crowd Project. ",chikanobu_yoshu,,,,,139.7928,35.6967,lowOblique
,https://adeac.jp/viewitem/taito-lib/viewer/iiif/2012_u_007_003/manifest.json,2012_u_007_003,Snowy Landscape Along the Sumida Riverbank,隅田堤の雪景,R100000094_I000119622_00,,01/01/1868,31/12/1912,"Images and base metadata from ""Digital Archive System ADEAC (台東区立中央図書館)"" retrieved Images and base metadata from Japan Search (https://jpsearch.go.jp/item/adeac-R100000094_I000119622_00). Image used under educational license; for details, see Japan Search link and holding institution. / 教育目的でこの画像を使用させていただいております。詳細については、ジャパンサーチのリンクおよび所蔵機関をご確認ください。 Data standardization, enrichment, and geographic tagging by the Drawing Images and base metadata from the Crowd Project. ",chikanobu_yoshu,,,,,139.7928,35.6967,lowOblique
,https://adeac.jp/viewitem/taito-lib/viewer/iiif/2013_u_001/manifest.json,2013_u_001,Kinryūzan in Asakusa,浅草金龍山 / Series: 東京真景図会 Scenic Views of Tokyo,R100000094_I000119680_00,,01/01/1875,31/12/1875,"Images and base metadata from ""Digital Archive System ADEAC (台東区立中央図書館)"" retrieved Images and base metadata from Japan Search (https://jpsearch.go.jp/item/adeac-R100000094_I000119680_00). Image used under educational license; for details, see Japan Search link and holding institution. / 教育目的でこの画像を使用させていただいております。詳細については、ジャパンサーチのリンクおよび所蔵機関をご確認ください。 Data standardization, enrichment, and geographic tagging by the Drawing Images and base metadata from the Crowd Project. ",hiroshige_utagawa_3,,,,,139.7967,35.7148,lowOblique
,https://adeac.jp/viewitem/taito-lib/viewer/iiif/2013_u_004_003/manifest.json,2013_u_004_003,"Ueno, Shinobugaoka Racecourse in Tokyo",東京上野忍ケ岡競馬会之図,R100000094_I000119687_00,,01/01/1884,31/12/1884,"Images and base metadata from ""Digital Archive System ADEAC (台東区立中央図書館)"" retrieved Images and base metadata from Japan Search (https://jpsearch.go.jp/item/adeac-R100000094_I000119687_00). Image used under educational license; for details, see Japan Search link and holding institution. / 教育目的でこの画像を使用させていただいております。詳細については、ジャパンサーチのリンクおよび所蔵機関をご確認ください。 Data standardization, enrichment, and geographic tagging by the Drawing Images and base metadata from the Crowd Project. ",shigekiyo_utagawa,,,,,139.7744,35.7148,lowOblique
,https://adeac.jp/viewitem/taito-lib/viewer/iiif/2013_u_008_001/manifest.json,2013_u_008_001,The Pine Tree of Success (Shubi no Matsu),草木尽 首尾の松 / Series: 江戸名所 Famous Places and Plants of Edo,R100000094_I000119692_00,,01/01/1843,31/12/1847,"Images and base metadata from ""Digital Archive System ADEAC (台東区立中央図書館)"" retrieved Images and base metadata from Japan Search (https://jpsearch.go.jp/item/adeac-R100000094_I000119692_00). Image used under educational license; for details, see Japan Search link and holding institution. / 教育目的でこの画像を使用させていただいております。詳細については、ジャパンサーチのリンクおよび所蔵機関をご確認ください。 Data standardization, enrichment, and geographic tagging by the Drawing Images and base metadata from the Crowd Project. ",kuniyoshi_utagawa,,,,,139.7916,35.6999,lowOblique
,https://adeac.jp/viewitem/taito-lib/viewer/iiif/2013_u_021/manifest.json,2013_u_021,A Schematic Map of Saruwakacho Theatre,猿若町芝居之略図,R100000094_I000119718_00,,01/01/1842,31/12/1844,"Images and base metadata from ""Digital Archive System ADEAC (台東区立中央図書館)"" retrieved Images and base metadata from Japan Search (https://jpsearch.go.jp/item/adeac-R100000094_I000119718_00). Image used under educational license; for details, see Japan Search link and holding institution. / 教育目的でこの画像を使用させていただいております。詳細については、ジャパンサーチのリンクおよび所蔵機関をご確認ください。 Data standardization, enrichment, and geographic tagging by the Drawing Images and base metadata from the Crowd Project. ",eisen_keisai,,,,,139.7967,35.7148,lowOblique
,https://adeac.jp/viewitem/taito-lib/viewer/iiif/2013_u_023/manifest.json,2013_u_023,Azumabashi Bridge,吾妻橋 / Series: 東京新開名所 New Tourist Attractions in Tokyo,R100000094_I000119719_00,,01/01/1890,31/12/1890,"Images and base metadata from ""Digital Archive System ADEAC (台東区立中央図書館)"" retrieved Images and base metadata from Japan Search (https://jpsearch.go.jp/item/adeac-R100000094_I000119719_00). Image used under educational license; for details, see Japan Search link and holding institution. / 教育目的でこの画像を使用させていただいております。詳細については、ジャパンサーチのリンクおよび所蔵機関をご確認ください。 Data standardization, enrichment, and geographic tagging by the Drawing Images and base metadata from the Crowd Project. ",kogyo_nagashima,,,,,139.802,35.7115,lowOblique
